,Year,Tm,Player,Age,Games,MP,PER ,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%
79,2011,DET,Greg Monroe,20,80,2222,18.0,0.575,0.002,0.424,13.0,20.4,16.5,7.5,2.3,1.6,11.0
80,2011,BOS,Kevin Garnett,34,71,2220,20.6,0.575,0.006,0.264,4.9,28.7,17.5,13.5,2.3,2.0,11.1
81,2011,OKC,Serge Ibaka,21,82,2216,17.7,0.579,0.002,0.298,11.7,20.8,16.4,1.6,0.7,6.5,9.2
82,2011,WAS,JaVale McGee,23,79,2193,17.4,0.5660000000000001,0.005,0.381,11.2,22.2,16.5,2.8,1.0,6.7,12.6
83,2011,OKC,James Harden,21,82,2189,16.4,0.598,0.474,0.501,2.3,11.0,6.8,12.8,2.2,0.8,11.3
84,2011,DET,Rodney Stuckey,24,70,2183,18.4,0.544,0.109,0.461,3.7,8.6,6.0,27.5,1.9,0.4,13.5
85,2011,WAS,Andray Blatche,24,64,2172,16.9,0.49700000000000005,0.019,0.29600000000000004,9.3,18.7,13.8,11.7,2.3,1.8,13.7
86,2011,MIL,Brandon Jennings,21,63,2169,15.6,0.493,0.327,0.266,2.2,10.6,6.3,25.9,2.3,0.8,12.4
87,2011,MIN,Luke Ridnour,29,71,2159,15.0,0.5670000000000001,0.27,0.201,1.9,8.6,5.1,28.1,2.1,0.4,17.6
88,2011,SAS,Tim Duncan,34,76,2156,21.9,0.537,0.005,0.307,9.3,26.8,18.3,15.7,1.2,4.8,11.4
89,2011,MEM,Rudy Gay,24,54,2152,17.8,0.5479999999999999,0.166,0.27699999999999997,4.5,14.2,9.3,11.6,2.2,2.2,12.2
90,2011,SAS,George Hill,24,76,2148,14.6,0.588,0.322,0.42700000000000005,1.3,9.2,5.4,13.6,1.6,0.7,11.6
91,2011,PHO,Jared Dudley,25,82,2140,15.6,0.598,0.402,0.34700000000000003,6.0,11.2,8.6,7.6,2.1,0.7,9.6
92,2011,PHI,Thaddeus Young,22,82,2135,18.4,0.5660000000000001,0.026000000000000002,0.205,8.3,15.2,11.7,6.7,2.2,0.9,9.7
93,2011,CLE,Ramon Sessions,24,81,2133,19.0,0.5589999999999999,0.019,0.545,2.4,11.6,6.9,35.0,1.5,0.3,15.6
94,2011,DET,Ben Gordon,27,82,2131,12.4,0.5479999999999999,0.345,0.20800000000000002,2.2,9.3,5.6,13.2,1.2,0.6,14.4
95,2011,LAC,Eric Gordon,22,56,2112,18.5,0.5660000000000001,0.307,0.36700000000000005,2.5,6.6,4.5,20.7,1.7,0.7,12.0
96,2011,SAC,Tyreke Evans,21,57,2107,14.4,0.48200000000000004,0.159,0.285,2.4,12.7,7.4,24.9,2.0,1.0,14.9
97,2011,DEN,Ty Lawson,23,80,2103,17.9,0.593,0.249,0.327,3.8,7.6,5.7,28.3,1.9,0.1,14.8
98,2011,TOR,Jose Calderon,29,68,2102,16.3,0.522,0.262,0.17300000000000001,1.7,9.9,5.7,43.0,2.0,0.3,18.8
99,2011,UTA,Raja Bell,34,68,2097,8.2,0.528,0.413,0.218,1.8,8.4,5.1,8.3,1.4,0.5,11.0
100,2011,LAC,Ryan Gomes,28,76,2095,9.0,0.504,0.418,0.168,3.4,10.7,7.1,8.5,1.5,0.4,9.2
101,2011,MIL,Luc Mbah a Moute,24,79,2093,11.5,0.518,0.016,0.439,9.2,14.3,11.7,5.3,1.8,1.1,13.1
102,2011,CLE,Anthony Parker,35,72,2091,10.5,0.505,0.41100000000000003,0.172,1.8,10.5,6.0,16.7,1.7,0.4,11.9
103,2011,HOU,Chuck Hayes,27,74,2079,16.2,0.5539999999999999,0.004,0.307,11.9,20.7,16.3,14.3,1.9,1.6,14.1
104,2011,NYK,Raymond Felton,26,54,2074,17.3,0.524,0.335,0.226,2.2,8.6,5.3,37.3,2.3,0.4,16.7
105,2011,MIN,Wesley Johnson,23,79,2069,10.2,0.491,0.424,0.135,2.7,10.4,6.4,11.0,1.4,2.0,11.6
106,2011,PHI,Jodie Meeks,23,74,2062,12.6,0.6,0.611,0.298,1.2,8.4,4.8,5.7,1.6,0.1,8.5
107,2011,NJN,Kris Humphries,25,74,2061,17.8,0.555,0.002,0.32799999999999996,12.5,32.2,22.1,7.0,0.9,3.0,13.4
108,2011,DAL,Tyson Chandler,28,74,2059,18.4,0.6970000000000001,0.0,0.725,12.2,26.6,19.7,2.4,0.9,3.0,14.1
109,2011,OKC,Thabo Sefolosha,26,79,2049,10.4,0.545,0.306,0.237,3.8,15.5,9.9,7.9,2.5,1.4,13.0
110,2011,LAC,DeAndre Jordan,22,80,2047,14.8,0.648,0.003,0.636,11.9,20.9,16.5,3.2,1.0,5.4,18.8
111,2011,WAS,Nick Young,25,64,2034,14.5,0.5379999999999999,0.29,0.244,1.4,8.6,4.9,6.6,1.1,0.6,8.0
112,2011,UTA,Deron Williams,26,53,2009,22.1,0.5870000000000001,0.32,0.439,1.9,10.5,6.2,43.6,1.7,0.5,16.3
113,2011,UTA,Andrei Kirilenko,29,64,1999,16.6,0.5670000000000001,0.18100000000000002,0.498,6.0,13.8,9.9,14.9,2.1,3.0,15.0
114,2011,ORL,Brandon Bass,25,76,1980,15.9,0.5710000000000001,0.003,0.361,8.1,16.7,12.5,5.0,0.7,2.0,11.5
115,2011,NYK,Toney Douglas,24,81,1971,15.2,0.534,0.507,0.142,3.7,10.5,7.1,19.5,2.3,0.1,10.0
116,2011,UTA,C.J. Miles,23,78,1969,14.4,0.507,0.377,0.218,3.3,12.4,7.8,11.7,2.0,1.6,8.6
117,2011,DEN,J.R. Smith,25,79,1968,16.4,0.55,0.406,0.282,2.7,15.8,9.4,14.2,2.3,0.6,10.2
118,2011,NOH,Marco Belinelli,24,80,1957,12.1,0.56,0.469,0.18100000000000002,1.1,8.4,4.7,8.0,1.1,0.3,9.4
119,2011,SAC,Samuel Dalembert,29,80,1938,14.1,0.509,0.004,0.261,12.1,26.9,19.3,5.3,0.9,4.3,17.3
120,2011,ORL,Jason Richardson,30,55,1919,13.2,0.5429999999999999,0.496,0.13,2.1,11.0,6.7,9.7,1.8,0.4,8.4
121,2011,ORL,Hedo Turkoglu,31,56,1910,13.6,0.55,0.40299999999999997,0.22699999999999998,1.6,13.8,7.8,24.0,1.5,0.8,14.8
122,2011,CHI,Carlos Boozer,29,59,1882,18.8,0.542,0.0,0.289,8.3,26.3,17.6,14.3,1.3,0.7,13.5
123,2011,CHA,Gerald Wallace,28,48,1872,15.0,0.53,0.182,0.488,4.6,21.0,12.7,10.5,1.7,2.1,12.4
124,2011,MEM,O.J. Mayo,23,71,1869,12.6,0.499,0.353,0.175,2.2,8.7,5.4,12.1,2.0,1.1,11.0
125,2011,CLE,Daniel Gibson,24,67,1865,13.2,0.5329999999999999,0.444,0.247,1.4,9.7,5.5,18.3,1.3,0.9,9.9
126,2011,ATL,Marvin Williams,24,65,1865,13.5,0.551,0.205,0.324,4.4,15.7,10.1,7.6,1.0,0.9,9.2
127,2011,NJN,Anthony Morrow,25,58,1856,12.1,0.573,0.419,0.17300000000000001,2.3,8.8,5.5,6.3,0.5,0.3,7.5
128,2011,TOR,Amir Johnson,23,72,1853,17.6,0.608,0.002,0.32299999999999995,11.8,17.8,14.7,6.8,1.5,3.6,10.9
129,2011,CLE,Antawn Jamison,34,56,1842,16.8,0.516,0.3,0.267,5.2,18.5,11.7,9.6,1.4,1.2,7.3
130,2011,LAC,Eric Bledsoe,21,81,1841,10.8,0.499,0.239,0.27399999999999997,4.4,9.8,7.1,24.2,2.6,1.1,26.3
131,2011,POR,Rudy Fernandez,25,78,1821,13.4,0.522,0.628,0.254,2.4,9.5,5.8,16.9,2.6,0.6,12.1
132,2011,HOU,Shane Battier,32,59,1818,12.9,0.5770000000000001,0.551,0.18600000000000003,3.6,13.9,8.8,12.1,1.5,2.7,12.5
133,2011,OKC,Jeff Green,24,49,1815,12.9,0.5329999999999999,0.298,0.293,3.8,13.5,8.8,7.9,1.1,0.8,9.8
